system:index,Elevation,LST,NDVI,NDWI,Precipitation,SI2,Slope,Wind,.geo
0,54,43.79315789473685,0.06691212915103018,-0.12945056592459334,27.070529763470404,0.4391359982966553,0.19855426203706056,2.1318500040391966,"{""type"":""Point"",""coordinates"":[61.01984077872595,44.008429875321376]}"
1,29,39.73105263157896,0.04119416801666283,-0.08383522042881232,66.17541853634293,0.5623811696705359,0.0,1.9160627786070181,"{""type"":""Point"",""coordinates"":[58.82472830448861,44.626057594369115]}"
2,29,29.748947368421113,0.03209774280389321,-0.07205850720585075,28.923793941603833,0.4770428754315486,0.0,1.9933155766635642,"{""type"":""Point"",""coordinates"":[58.355795874717046,44.489982714348955]}"
3,57,44.004736842105274,0.07842855087062886,-0.1769140164899882,24.450624479904945,0.413761093506869,1.1405563208568281,2.137720565633162,"{""type"":""Point"",""coordinates"":[61.05339560614888,43.68690418029614]}"
4,33,40.26789473684215,0.029126213592233018,-0.0977470930232558,27.842290259042784,0.37799191790301545,0.19923682601719014,2.0259807314057676,"{""type"":""Point"",""coordinates"":[58.46898865376176,44.31551307460041]}"
5,42,41.53736842105269,0.059372137563494076,-0.1454037994057801,21.989487232464853,0.3688645415325252,0.16056132262552936,2.170939267964318,"{""type"":""Point"",""coordinates"":[59.61462274637845,43.77304710217171]}"
6,41,45.242631578947396,0.06864595846919519,-0.14921103626464888,17.92132269216745,0.3560352124439379,0.11593620909182091,2.29906671204457,"{""type"":""Point"",""coordinates"":[59.91009991830624,43.941929277473264]}"
7,29,41.682000000000016,0.013205282112845112,-0.038586622132372274,28.740731578443956,0.3969208894729528,0.0,2.7754769944209814,"{""type"":""Point"",""coordinates"":[59.72052488430209,44.34732249114519]}"
8,29,41.888888888888914,0.029964109840580958,-0.06655142610198786,42.71248245531751,0.39663497387396385,0.0,2.540970130934034,"{""type"":""Point"",""coordinates"":[60.10252499422724,44.42644902841463]}"
9,40,41.57947368421054,0.05060240963855423,-0.10692951015531661,73.57742137335663,0.44895323809947063,0.507765983445245,1.6433324155932767,"{""type"":""Point"",""coordinates"":[58.92366763769,45.28775394131188]}"
10,29,28.410000000000025,0.03462788910563343,-0.0742263738691741,28.923793941603833,0.46315416829724326,0.0,1.9933155766635642,"{""type"":""Point"",""coordinates"":[58.36800157684677,44.49676955079225]}"
11,29,37.0868421052632,0.1366677658273289,-0.22760945538981966,29.888690609963533,0.34240805631509086,0.0,1.5274478572015648,"{""type"":""Point"",""coordinates"":[58.36994881449261,45.15916262997012]}"
12,37,44.26052631578949,0.04832713754646841,-0.12220195655778476,30.244105276266055,0.40550946967980905,0.11593620909182091,2.05731071167953,"{""type"":""Point"",""coordinates"":[58.85971617926811,44.10346424034946]}"
13,29,38.714444444444496,0.029222387320455595,-0.0456473294515132,32.546198095356544,0.47729090709964295,0.0,1.511652771724634,"{""type"":""Point"",""coordinates"":[58.74423820911349,45.502091471364714]}"
14,60,42.507894736842104,0.09129479506023179,-0.18737119775781055,24.736784571534372,0.38813351439936233,0.8783198634412333,2.068016315761059,"{""type"":""Point"",""coordinates"":[61.17455949901027,44.054128299571815]}"
15,39,43.686842105263224,0.06036633169410591,-0.14375768757687582,48.076230374063016,0.4314748689089551,0.32372987454562924,2.148189695655939,"{""type"":""Point"",""coordinates"":[58.9353227763836,44.25486396966834]}"
16,55,41.60894736842107,0.06455622772851576,-0.15438533429187634,26.727539060710114,0.3673954307010363,0.19713487936145158,1.9172971990860603,"{""type"":""Point"",""coordinates"":[59.781943834854225,43.352666856675505]}"
